,Local Authority,Agriculture Total,Area (km2),Commercial Total,Domestic Total,Emissions per km2 (kt CO2e),Industry Total,LULUCF Net Emissions,Per Capita Emissions (tCO2e),"Population ('000s, mid-year estimate)",Public Sector Total,Transport Total,Waste Management Total
85,Epping Forest,1306.7328207611297,5762.731399999999,1564.4894148802491,4857.611136474041,57.12259501817073,579.9606415620673,-276.12214336703425,152.2677865366207,2171.311367171729,432.2255429221736,9876.787097431805,1021.9726634941575
86,Fenland,5050.265889018155,9305.041800000003,1034.2857033026537,3381.461460451457,53.37373767255478,5763.339815008969,9460.578555229442,301.2686468644524,1657.5512672222362,245.86237570657605,3293.283642148812,985.3260923902228
87,Great Yarmouth,574.6307997328137,3101.151900000001,1147.6562851542062,3211.558047320602,50.89815784382864,696.677135304385,246.69983358087356,95.225187193441,1664.571068708702,379.72052834738173,2334.0634743481696,693.871478793282
88,Harlow,51.28467195600251,519.1442999999999,1629.7675568983227,2499.295748092617,337.1248019976242,2580.233958250639,2.865119626973218,122.71377429686224,1444.149759335957,347.71331850284946,1957.1336419848226,1226.7894756110209
89,Hertsmere,156.9906664634761,1719.1794000000004,1978.692091365774,3734.821408611605,139.77559626223746,892.2497822774678,-51.75379818928341,139.81487606846207,1731.2966707988576,538.1305524568726,6063.605892978497,822.5178579623937
90,Huntingdonshire,4024.593487859424,15513.283699999994,1837.7565894877655,5829.671012339883,39.07304355329393,3684.620812025507,5187.61942140062,207.4319713770105,2933.74117130951,891.9545416012882,11594.043653304429,2605.693991669594
91,Ipswich,60.06115207436803,685.1034000000001,1931.3591606565024,3957.0130523885077,264.45110740246446,847.5489385523176,31.182177739167166,80.28083154065078,2286.271661404777,677.5786021785995,2140.2661902709583,1012.4232446803771
92,King's Lynn and West Norfolk,6507.732452642998,25957.315300000006,1131.7267270238456,5631.695588428555,26.50124804435597,9189.12503735851,9816.926423828172,271.7296075545468,2543.6865628346336,361.67113889515235,6604.853073058684,1221.049048814451
93,Luton,47.006932453593016,736.9925,2299.9711773171653,5745.735879052281,385.1197673373729,2246.566398216264,41.54993291543054,81.8209364807229,3528.220895853236,841.4613045350553,3624.1217056014407,1849.491383402229
94,Maldon,791.3095149760588,7277.014899999997,685.5185213031883,2317.9538039473614,15.91486627670759,1012.0770922705397,8.448252923635398,108.86302874239125,1068.7347503283384,115.83850383211444,1400.4942230391343,480.8729716555359
95,Mid Suffolk,3154.824956651061,14808.200199999996,979.1495823279457,3550.5482499956875,18.49975397991373,2322.1899159962245,314.3649570816526,165.75211696277086,1663.9216483234636,317.1750327094298,4942.359057847215,533.9800465266285
96,North Hertfordshire,846.2206753893748,6381.495699999998,1129.1513121526345,4404.482848308252,41.10958439132125,2284.192587462869,-84.27677184381973,120.53085866881068,2190.6563943720794,324.78341117730224,5094.096341742669,1433.1517145521068
97,North Norfolk,3170.8311706754653,16829.853800000004,1169.863143636509,4133.05444936658,16.003644366798948,1597.2354282748852,1214.4815539119813,155.73328823940975,1732.6771676373687,323.1936383647372,3700.3715685915586,534.4393389676869
98,Norwich,211.2652255479667,689.4196999999998,2232.509876102827,3957.6870416215074,306.86341830813836,1795.0528486717828,59.467624448328024,93.06929885029218,2305.573281985335,1088.05910647977,2378.1744322695704,722.3535972683184
99,Peterborough,1678.1727039127977,5838.444299999999,3519.0341156157665,5658.229276080085,72.54001803341554,2319.041235490612,1822.7286844764058,131.9461837374818,3268.937528380236,975.1526027826717,7516.29344276234,1424.3393982376801
100,Rochford,254.32268030779628,4472.071000000001,676.7676927021961,2952.5166975386064,27.572840784988564,579.9556801780129,33.04991446979896,86.6252144446755,1428.809267979702,209.82413581164286,1793.627174196792,753.3302402166
101,South Cambridgeshire,2368.6586839872216,15328.684099999995,2333.209915780461,5425.845740821074,30.187488149191584,4822.393466176588,1385.3199573212783,181.61266401208323,2575.4728481772586,484.6952621091181,9215.710930344472,1183.8407264863438
102,South Norfolk,4161.284572472814,15451.4088,1170.7690325324988,4613.88424743496,24.26477859188938,1919.1679864300552,1641.778672646201,174.08363486443233,2177.796447650959,499.45713201737374,6829.472767592711,1218.5981456246327
103,Southend-on-Sea,35.3964532172841,1153.6897,1526.6378622609068,6128.817830511046,195.31609715222694,1294.6462938499496,45.94889972345842,76.52122219607635,2972.641255294931,816.7853906647587,2635.97586957625,770.7425489447895
104,St Albans,423.71266421583005,2740.4986000000004,1646.881886788326,5192.5973588143825,116.3009400794118,656.1008518311133,-97.93080307129074,132.7237129756924,2415.481036192306,554.8617096555663,9368.465079674124,1003.6973383455947
